"net","mod","num","nnodes","nedges","edensity","aplength","mdegree","diameter","clusteringC","cb","cd"
"CS","CSR",88,570,1222,0.00753553479480776,18.0129407746072,4.28771929824561,46,0.572058259869682,0.210282191292995,0.0135540961366509
"CS","CSR",89,615,1479,0.00783347898625566,12.6664484386779,4.80975609756098,38,0.605078181035719,0.0643179043691651,0.0100818304599984
"CS","CSR",90,524,1117,0.00815173762643586,20.5549216263287,4.26335877862595,59,0.589775561097257,0.219589290176712,0.0147928130427802
"CS","CSR",91,621,1473,0.00765155056880162,17.1503274053129,4.743961352657,44,0.615692439616979,0.128816885029503,0.0100903849150693
"CS","CSR",92,570,1261,0.00777603058613141,12.6405989576444,4.42456140350877,44,0.566967509025271,0.0589088707314471,0.0133136003453273
"CS","CSR",93,536,1089,0.00759520156228205,20.6343284625603,4.0634328358209,52,0.585832349468713,0.25723964493603,0.0129655461012694
"CS","CSR",94,597,1427,0.00802108978898969,13.2438155833056,4.78056951423786,37,0.64313112658048,0.101745747423144,0.0104352860499365
"CS","CSR",95,582,1304,0.00771273606946194,16.2879830906165,4.48109965635739,49,0.609996599795988,0.126459779273334,0.0112201382850992
"CS","CSR",96,553,1195,0.00782949393296119,17.2590205745386,4.32188065099457,46,0.587939698492462,0.207213692269717,0.0102864480960243
"CS","CSR",97,608,1455,0.0078849822249198,21.4153221656852,4.78618421052632,66,0.61166253101737,0.19158948333784,0.0135318217289517
"CS","CSR",98,632,1486,0.00745250656984092,21.5083125899198,4.70253164556962,59,0.605578250457811,0.181567223564305,0.0115649260767518
"CS","CSR",99,574,1256,0.0076375333686022,17.1666885331934,4.37630662020906,47,0.566260543580131,0.194702117778926,0.0133048750083612
"CS","CSR",100,556,1157,0.00749886577224707,21.3742089891287,4.16187050359712,60,0.609277058086084,0.219648552836181,0.010519152245771
"CS","CSR",101,609,1444,0.00779967159277504,14.8824675413142,4.74220032840723,42,0.602743641040297,0.13929728299004,0.0135819073545934
"CS","CSR",102,598,1430,0.00801106984196344,16.5512761506276,4.78260869565217,51,0.618845500848896,0.098100410390271,0.0120894326705994
"CS","CSR",103,615,1445,0.00765339900956013,22.3594604698002,4.69918699186992,75,0.605391073795846,0.211000166611777,0.0102619104366939
"CS","CSR",104,587,1392,0.00809344675012065,16.7769123976121,4.7427597955707,45,0.578339991122947,0.15935245431444,0.0157973382328145
"CS","CSR",105,590,1360,0.00782711288883773,22.4545887020045,4.61016949152542,58,0.604439648527825,0.270213950460365,0.0142441944116716
"CS","CSR",106,603,1394,0.00768031382401393,25.1925760262316,4.62354892205638,67,0.58948799275034,0.281630116915992,0.0122532409932618
"CS","CSR",107,609,1440,0.0077780658542909,18.6992920436964,4.72906403940887,53,0.568935926773455,0.242999538010492,0.0152482499351828
"CS","CSR",108,592,1402,0.00801435953720218,19.3649642776666,4.73648648648649,54,0.589359425164348,0.092084567527316,0.01059816161339
"CS","CSR",109,606,1406,0.0076698578948804,14.809965768285,4.64026402640264,39,0.58421052631579,0.169195815504172,0.0105119602869378
"CS","CSR",110,626,1513,0.00773418530351438,22.6866860189075,4.83386581469649,60,0.585870889159562,0.277753757834608,0.0114658146964856
"CS","CSR",111,552,1149,0.00755543280991083,15.7071045153142,4.16304347826087,47,0.619888075764098,0.120014875984059,0.00877850548410006
"CS","CSR",112,610,1360,0.00732186599908477,19.3538717735221,4.45901639344262,56,0.592270369750711,0.193226358413714,0.0107405313736574
"CS","CSR",113,582,1309,0.00774230944396141,28.2032577768442,4.49828178694158,77,0.610507880910683,0.277672357353751,0.0094693945147305
"CS","CSR",114,639,1572,0.00771189309314613,23.3361387324787,4.92018779342723,61,0.585572842998586,0.281013362512217,0.0126642824554432
"CS","CSR",115,607,1411,0.00767177211955133,20.3479566507235,4.64909390444811,60,0.587676272225628,0.181479915744425,0.0154305381114718
"CS","CSR",116,615,1408,0.00745742962315617,18.6213869475151,4.57886178861789,51,0.584050039093041,0.234112078821711,0.0137152088133259
"CS","CSR",117,608,1449,0.00785246683430157,14.4137517747497,4.76644736842105,41,0.584709567198178,0.112981571926425,0.0135643371195699
"CS","CSR",118,592,1373,0.00784858462523437,23.7326807854304,4.63851351351351,69,0.596330275229358,0.196146941860565,0.014148031280011
"CS","CSR",119,593,1412,0.00804430062440181,24.6654705921683,4.76222596964587,71,0.60702491744221,0.237915742909364,0.0122259696458685
"CS","CSR",120,526,1051,0.0076118051783451,9.94486682442979,3.99619771863118,33,0.603537214443626,0.0259763549185578,0.0114358138692739
"CS","CSR",121,518,1086,0.00811034853588045,15.2968715454344,4.19305019305019,42,0.586406041759218,0.108283697153035,0.0131662472088004
"CS","CSR",122,560,1158,0.00739841553795042,16.0803393213573,4.13571428571429,47,0.581967213114754,0.086892956210017,0.0176463071811909
"CS","CSR",123,624,1535,0.00789706548133514,21.6430649290202,4.91987179487179,62,0.619793014230272,0.233185027539745,0.0145748446310244
"CS","CSR",124,597,1422,0.00799298505952582,14.7935846950014,4.76381909547739,42,0.590459819510099,0.092471372135179,0.0138190954773869
"CS","CSR",125,604,1462,0.00802829121500664,20.3231833978164,4.84105960264901,52,0.61340206185567,0.147587810512024,0.0135305810901343
"CS","CSR",126,567,1219,0.00759686154268015,11.0338474837246,4.29982363315697,31,0.578641903656413,0.0580209494813127,0.0136045518848817
"CS","CSR",127,615,1434,0.00759513784062922,17.2798581348071,4.66341463414634,47,0.614568925772245,0.124794907841654,0.0119488361007389
"CS","CSR",128,590,1290,0.0074242467842652,14.3428825563052,4.3728813559322,39,0.573399558498896,0.125736942169213,0.00955368190843429
"CS","CSR",129,589,1312,0.00757654504925909,13.2650248442306,4.45500848896435,41,0.607619990103909,0.0888839570083526,0.012831618216047
"CS","CSR",130,575,1241,0.00752007271625511,22.0930474473828,4.31652173913043,57,0.601490825688073,0.248024840122666,0.00990153007120133
"CS","CSR",131,563,1321,0.00835003128891361,13.9161241790354,4.69271758436945,37,0.62282309807516,0.0840809947897065,0.0112229224477412
"CS","CSR",132,586,1292,0.00753770310084303,16.8830521274065,4.40955631399317,46,0.576351970669111,0.192147539522186,0.0129751174119775
"CS","CSR",133,567,1256,0.00782744716784764,15.4333909088921,4.43033509700176,49,0.630703166935051,0.133890924664894,0.0133739662597142
"CS","CSR",134,598,1356,0.00759651098300869,14.2458603611866,4.53511705685619,39,0.591093117408907,0.0900198323039909,0.0108289496535072
"CS","CSR",135,593,1329,0.00757144159336402,15.7684574850765,4.4822934232715,49,0.590893411521214,0.113183079510988,0.0110096394877171
"CS","CSR",136,604,1481,0.00813262605295817,11.2631375234466,4.90397350993377,36,0.624950806768989,0.0478099996958326,0.0134262462521828
"CS","CSR",137,572,1262,0.0077278238399079,16.6902052691127,4.41258741258741,44,0.593488703077744,0.161051395053803,0.0115366244963443
"CS","CSR",138,583,1268,0.00747407944451321,18.7988462647822,4.34991423670669,57,0.597569955817378,0.15864483463277,0.0114262641980985
"CS","CSR",139,623,1466,0.0075663344567568,17.3137093781477,4.70626003210273,49,0.591518507723696,0.118033418211673,0.0133339870866516
"CS","CSR",140,627,1550,0.00789804892713922,17.1538955387842,4.94417862838915,50,0.604243059193295,0.12704806622503,0.0112712801463432
"CS","CSR",141,594,1432,0.00813077372942466,20.3353810172302,4.82154882154882,59,0.597508650519031,0.149613768034999,0.0154779952419076
"CS","CSR",142,642,1524,0.00740665140624317,18.9753234346411,4.74766355140187,51,0.566258351893096,0.18112566351328,0.01131409742371
"CS","CSR",143,603,1396,0.00769133292562657,16.6571114211054,4.6301824212272,50,0.605202043660009,0.0862644241767964,0.0122422218916492
"CS","CSR",144,601,1496,0.00829728230726567,18.6347767510654,4.9783693843594,49,0.637724550898204,0.159599424967538,0.0117027176927343
"CS","CSR",145,586,1265,0.00738018144161489,9.83643555141927,4.31740614334471,33,0.60876993166287,0.0304548033185925,0.00971383565240221
"CS","CSR",146,644,1575,0.00760700520657245,17.6990396216399,4.89130434782609,55,0.598187311178248,0.200856998117413,0.0126107241868957
"CS","CSR",147,596,1400,0.00789577575996842,10.8716991630538,4.69798657718121,34,0.596984033116499,0.0341142183385691,0.0122722914669223
"CS","CSR",148,564,1235,0.00777874355970422,12.3472459801574,4.37943262411348,40,0.604873646209386,0.0561741725730286,0.0170880415202247
"CS","CSR",149,625,1457,0.00747179487179487,20.4302925308906,4.6624,51,0.605442176870748,0.318258498696203,0.0117589743589744
"CS","CSR",150,605,1416,0.00774998631711455,16.5339020818743,4.68099173553719,46,0.586916461916462,0.12728657943416,0.0121175633517596
"CS","CSR",151,646,1552,0.00744954040367677,20.2188912746705,4.80495356037152,54,0.61985145172181,0.247429887472819,0.0111551107591139
"CS","CSR",152,599,1370,0.00764931519086996,11.6922695738355,4.57429048414023,39,0.643403872129671,0.0456141776806464,0.0157620560465882
"CS","CSR",153,606,1394,0.0076043968033167,22.1168363919239,4.6006600660066,53,0.611801730920535,0.295567649768793,0.012230313940485
"CS","CSR",154,553,1244,0.00815053594360144,20.6730703800914,4.49909584086799,60,0.604757709251101,0.231080345005796,0.0154001886940797
"CS","CSR",155,622,1401,0.00725414356058841,25.0435175603735,4.5048231511254,67,0.562345577334871,0.386104336314481,0.0104592219788641
"CS","CSR",156,634,1578,0.00786400944877181,18.2004952467346,4.97791798107256,47,0.59639733716225,0.221829219313651,0.00951355769182851
"CS","CSR",157,591,1314,0.00753678052138002,19.3395505866726,4.44670050761421,59,0.5784588441331,0.247421320396096,0.00941237202099286
"CS","CSR",158,564,1297,0.00816925538213471,13.7254271630916,4.59929078014184,34,0.583248730964467,0.0801717851234343,0.013145131829233
"CS","CSR",159,558,1209,0.00777977259126272,21.7122287280107,4.33333333333333,67,0.602665636468998,0.213610721033519,0.0101735487731897
"CS","CSR",160,604,1378,0.0075670214051157,18.6141295368178,4.56291390728477,48,0.597192044125021,0.150753928120134,0.00901672652191581
"CS","CSR",161,592,1308,0.0074770201673755,18.059487538085,4.41891891891892,61,0.596640173410405,0.116921617365469,0.0111355009832167
"CS","CSR",162,601,1405,0.00779256794231836,18.7518690984349,4.67554076539102,55,0.626597255087553,0.155692988313856,0.00887409872434831
"CS","CSR",163,578,1305,0.00782594615988918,13.1456597765204,4.51557093425606,40,0.601615074024226,0.0748631944715607,0.0147043831295389
"CS","CSR",164,572,1206,0.00738490931135414,13.4092129873867,4.21678321678322,38,0.596730245231608,0.116253803036113,0.0136308525100119
"CS","CSR",165,579,1327,0.00793038946758222,23.9809358914366,4.58376511226252,68,0.578254509995124,0.26934217625443,0.0128308562071583
"CS","CSR",166,557,1237,0.00798858220425455,7.46973706675773,4.44165170556553,26,0.573275862068966,0.0181600004849319,0.011795590457616
"CS","CSR",167,592,1334,0.00762564595051905,19.0920594425665,4.50675675675676,43,0.582658959537572,0.23443298215671,0.0126789225773997
"CS","CSR",168,561,1186,0.00755029284441049,15.3788260235855,4.22816399286988,49,0.621137571344224,0.105641400863656,0.0120925642984467
"CS","CSR",169,594,1381,0.00784120008403314,16.6708292032201,4.64983164983165,46,0.58537728479925,0.133013548244001,0.0140812282464896
"CS","CSR",170,580,1289,0.00767673158239533,23.3759721146398,4.4448275862069,60,0.582591669633321,0.383402570190421,0.0113215413018879
"CS","CSR",171,603,1447,0.00797232001674903,22.1332561374605,4.79933665008292,61,0.593992384713017,0.32918132145515,0.0119612348005267
"CS","CSR",172,592,1309,0.00748273654365025,17.0216468453288,4.4222972972973,48,0.579360921948664,0.135784991629215,0.0128218319842685
"CS","CSR",173,556,1186,0.00768682351416164,18.4749803444165,4.26618705035971,53,0.597721822541966,0.0690203131221767,0.0157365999092618
"CS","CSR",174,548,1201,0.00801318405636584,19.0450830477195,4.38321167883212,53,0.615615053360794,0.158678766474655,0.0120965051575281
"CS","CSR",175,583,1337,0.00788079196949067,20.7831190437069,4.58662092624357,63,0.625509883903357,0.256076683120227,0.0144559777899595
"CS","CSR",176,585,1286,0.00752839245989931,15.5306983038046,4.3965811965812,40,0.574216651745748,0.154425670479038,0.0130195527455801
"CS","CSR",177,565,1220,0.00765706395531287,10.974368619022,4.31858407079646,33,0.592,0.0500041997405737,0.0118464821439779
"CS","CSR",178,566,1227,0.00767378592201132,12.9665951012305,4.3356890459364,40,0.581404472342095,0.0662198953693814,0.0100253291222365
"CS","CSR",179,618,1451,0.00761068538129481,13.7727690319366,4.6957928802589,43,0.595971925541654,0.0949293485397103,0.0118382611341023
"CS","CSR",180,541,1127,0.00771547887998905,10.0695004382121,4.16635859519408,27,0.600659340659341,0.0246501094658735,0.0108030396385295
"CS","CSR",181,636,1508,0.00746793443272421,21.5007072220918,4.74213836477987,52,0.599915801291047,0.394069207631156,0.014579309661764
