"mod","weight"
"Mat",6.00916
"Mat",2.01545
"Mat",1.27016
"Mat",1.04126
"Mat",5.03974
"Mat",3.21716
"Mat",2.00539
"Mat",0.79054
"Mat",3.34647
"Mat",0.6872
"Mat",1.46918
"Mat",0.21904
"Mat",1.75234
"Mat",3.75689
"Mat",7.6997
"Mat",3.55086
"Mat",4.9144
"Mat",4.87383
"Mat",5.41793
"Mat",6.2961
"Mat",6.18848
"Mat",7.25141
"Mat",3.84337
"Mat",3.37789
"Mat",10.1708
"Mat",4.19361
"Mat",1.97578
"Mat",4.53804
"Mat",9.56819
"Mat",4.29714
"Mat",0.23392
"Mat",0.73075
"Mat",7.91048
"Mat",5.73921
"Mat",3.17868
"Mat",2.22587
"Mat",0.1904
"Mat",2.95188
"Mat",1.68077
"Mat",1.95426
"Mat",2.85656
"Mat",2.17878
