"Source","Target","weight"
80,98,1.86172
80,143,0.12285
80,173,0.05225
80,257,0.30297
81,17,14.65743
81,19,10.34898
81,34,1.28438
81,56,2.85591
81,96,0.05562
82,50,3.96211
82,64,1.41565
82,95,0.18147
82,101,2.67694
82,120,1.33809
82,145,1.57897
83,73,5.27297
83,238,0.23381
84,12,9.94677
84,22,4.35423
84,34,0.91791
84,124,1.33728
85,8,1.58753
85,48,2.01623
85,78,0.36779
85,108,2.50779
85,163,0.27625
85,176,0.67557
85,177,1.23735
85,217,0.12087
86,25,1.84999
86,76,1.82749
86,88,1.33071
86,107,1.81364
86,187,0.3409
86,256,0.04525
87,17,18.13313
87,94,0.71626
87,260,0.32116
88,13,4.92116
88,14,9.91489
88,25,4.00148
88,76,1.65883
88,86,1.35647
88,159,0.9547
89,10,24.16109
89,30,2.50239
89,106,1.2463
89,123,1.60535
89,155,0.86445
89,266,0.0288
90,1,30.46577
90,6,22.37782
90,21,11.04844
90,100,2.6116
91,45,6.90219
91,126,2.73667
92,1,46.42057
92,2,18.11281
92,7,5.13443
92,169,0.63745
92,240,0.33376
92,245,0.13023
93,32,5.43971
93,57,3.0903
93,72,5.25993
93,107,0.77842
93,112,1.76482
94,11,1.01537
94,17,18.51565
94,87,0.85172
94,170,0.49995
94,200,0.64605
94,227,0.49312
95,50,2.26254
95,64,4.84231
95,77,4.00715
95,82,0.23028
95,129,0.16642
95,145,0.78109
95,192,0.32171
96,12,4.71851
96,17,0.41069
96,34,3.47812
96,56,10.96126
96,81,0.07153
97,14,1.72983
97,25,7.98916
97,63,4.22017
97,75,1.36771
97,159,0.47635
97,179,0.68269
98,16,11.79815
98,53,3.67392
98,80,2.61562
98,140,1.35177
98,173,0.4911
99,4,31.12371
99,6,28.90384
99,37,4.40273
100,1,45.69023
100,6,23.54756
100,21,2.26321
100,90,3.43598
101,50,0.36028
101,82,3.82921
101,119,0.01993
101,120,0.77136
101,203,0.23042
102,18,16.97851
102,119,1.44844
103,4,18.20145
103,16,35.47226
104,4,69.99093
105,8,6.75076
105,44,10.57225
105,59,3.11982
105,166,1.14268
106,10,8.72961
106,19,7.37431
106,60,1.54291
106,89,1.77737
106,123,0.17423
106,266,0.36046
107,25,8.38156
107,72,0.38187
107,86,2.88239
107,93,1.04699
107,256,0.27585
108,78,2.46778
108,85,4.03138
108,137,0.03302
108,177,0.82011
108,217,0.713
109,25,5.37277
109,67,4.42011
109,117,0.04691
109,153,0.42219
109,171,1.00679
109,243,0.10778
110,5,15.62808
110,12,7.78487
110,23,2.59076
110,28,7.98329
111,39,7.03274
111,45,12.12398
112,32,2.82764
112,57,7.1732
112,72,0.30263
112,93,2.51345
113,15,13.89281
113,36,8.84855
113,69,1.23636
113,147,2.92874
113,221,0.19747
114,8,36.76514
114,130,1.49806
115,5,47.76127
115,13,18.74525
115,14,10.53075
115,249,0.28574
116,29,4.11268
116,50,13.48476
117,109,0.05438
117,171,0.46453
118,35,6.64623
118,209,0.4211
119,18,5.45679
119,101,0.02821
119,102,2.02975
119,203,0.31287
120,64,0.06064
120,82,2.71758
120,101,1.09517
120,220,0.60979
121,3,33.75111
121,11,4.45458
121,31,2.85741
121,236,0.13009
122,7,28.84465
122,205,0.96026
123,10,15.02158
123,19,0.37663
123,30,10.77173
123,89,3.16001
123,106,0.24049
123,155,1.51673
123,211,0.56361
124,12,6.71384
124,22,4.21361
124,29,3.12222
124,84,2.76919
124,154,1.41231
125,19,10.70805
125,33,7.86478
125,47,7.57362
126,45,4.59218
126,91,5.55418
127,12,16.16181
127,28,1.24552
128,4,25.97567
128,49,12.74695
128,53,2.24558
128,133,3.63279
129,44,4.28972
129,64,3.54615
129,95,0.2965
