"net","mod","num","nnodes","nedges","mdegree","clusteringC","edensity","aplength","diameter","cb","cd"
"CL","HC",17,63,65,2.06349206349206,0.375,0.0332821300563236,2.3943661971831,7,0.0305138090445404,0.079621095750128
"CL","HC",18,89,153,3.43820224719101,0.39622641509434,0.039070480081716,4.51602209944751,13,0.168515088185935,0.085929519918284
"CL","HC",19,80,97,2.425,0.329545454545455,0.0306962025316456,3.03804347826087,8,0.0591415741231476,0.0832278481012658
"CL","HC",20,107,136,2.54205607476635,0.298672566371681,0.0239816610827015,3.37025060630558,8,0.0733446066215735,0.108093810615412
"WCL","Tho",1,274,2046,69.7062474817518,0.649730259931339,0.0273522098339617,8.40541369658846,101.20876,0.0894990066653547,0.112251606757101
"WCL","Tho",2,288,1782,56.6215266666667,0.6124826629681,0.0215592334494774,21.0829773170732,1195.13424,0.0828001629237831,0.0797630176401316
"WCL","Tho",3,253,1610,68.462393083004,0.608083832335329,0.0252525252525253,13.5394955911727,92.78774,0.0427046942266488,0.114087301587302
"WCL","Tho",4,191,1010,38.1605510994764,0.67178729689808,0.0278313585009645,12.3006896534091,96.52229,0.0383718817372029,0.0884210526315789
"WCL","Tho",5,296,2402,90.72718,0.59056974459725,0.0275080164910673,17.3441046391753,246.10261,0.314547902744511,0.0744383797759265
"WCL","Tho",6,313,2328,64.3467490734824,0.552139135539737,0.0238387810272794,11.4231019462779,265.10386,0.264668999288,0.188301282051282
"WCL","Tho",7,317,2290,54.5622972870663,0.636811594202899,0.0228606796310346,18.9096673963134,103.10107,0.27372080286732,0.0723041179298189
"WCL","Tho",8,274,1758,74.8874277372263,0.617971823835512,0.0235020453998556,12.9396610226832,201.49808,0.0409504038301711,0.083028083028083
"WCL","Tho",9,229,1458,72.9733492576419,0.660781624957148,0.0279246150310274,9.42632518816472,73.17281,0.0299003863900768,0.0688673437980917
"WCL","Tho",10,233,1502,82.049062360515,0.634138737334373,0.0277859997040107,14.3896896873569,484.43085,0.0497651852692862,0.110619797859691
